map_seed	seat	opponent	baseline_score	baseline_opponent_score	baseline_margin	candidate_score	candidate_opponent_score	candidate_margin	delta	baseline_wood	candidate_wood	baseline_opponent_wood	candidate_opponent_wood	baseline_turn	candidate_turn	baseline_train_turn	candidate_train_turn	baseline_workers	candidate_workers	baseline_period2	candidate_period2	baseline_issues	candidate_issues	baseline_critical	candidate_critical	baseline_unclassified	candidate_unclassified
9854000	0	resident	104	100	4	93	92	1	-3	26	22	25	23	185	175	1	1	2	2	0	3	0	0	0	0	0	0
9854000	0	gold_adaptive	100	32	68	104	28	76	8	25	26	6	5	217	216	1	1	2	2	3	0	0	0	0	0	0	0
9854000	0	compact_gold	100	32	68	104	28	76	8	25	26	6	5	217	216	1	1	2	2	3	0	0	0	0	0	0	0
9854000	0	norx_native_three	119	62	57	119	63	56	-1	28	28	0	1	301	301	1	1	2	2	7	10	8	5	0	0	0	0
9854000	0	legend_balanced	180	63	117	189	55	134	17	44	46	7	4	301	301	1	1	2	2	5	9	2	1	0	0	0	0
9854000	0	mybot	140	77	63	150	62	88	25	34	37	17	13	301	301	1	1	2	2	3	3	36	9	0	0	0	0
9854000	1	resident	100	104	-4	93	92	1	5	25	22	26	23	185	172	1	1	2	2	0	3	0	0	0	0	0	0
9854000	1	gold_adaptive	108	44	64	108	44	64	0	27	27	9	9	231	231	1	1	2	2	3	3	4	4	0	0	0	0
9854000	1	compact_gold	108	44	64	108	44	64	0	27	27	9	9	231	231	1	1	2	2	3	3	4	4	0	0	0	0
9854000	1	norx_native_three	140	71	69	138	69	69	0	34	33	0	1	301	301	1	1	2	2	4	3	6	5	0	0	0	0
9854000	1	legend_balanced	180	48	132	173	56	117	-15	44	42	2	4	301	301	1	1	2	2	3	9	3	12	0	0	0	0
9854000	1	mybot	128	71	57	133	66	67	10	31	33	16	14	301	301	1	1	2	2	3	3	21	8	0	0	0	0
9854001	0	resident	176	176	0	168	170	-2	-2	29	26	29	26	301	301	1	1	2	2	76	0	0	0	0	0	0	0
9854001	0	gold_adaptive	270	102	168	267	102	165	-3	30	29	21	21	301	301	1	1	2	2	3	3	22	22	0	0	0	0
9854001	0	compact_gold	300	317	-17	296	322	-26	-9	38	37	77	78	301	301	1	1	2	2	3	0	25	23	0	0	0	0
9854001	0	norx_native_three	300	134	166	300	126	174	8	38	38	2	3	301	301	1	1	2	2	3	0	27	37	0	0	0	0
9854001	0	legend_balanced	297	90	207	294	91	203	-4	37	36	4	6	301	301	1	1	2	2	3	0	41	66	0	0	0	0
9854001	0	mybot	223	134	89	190	130	60	-29	45	36	21	21	301	301	1	1	2	2	4	3	36	45	0	0	0	0
9854001	1	resident	176	176	0	168	183	-15	-15	29	26	29	30	301	301	1	1	2	2	77	0	0	0	0	0	0	0
9854001	1	gold_adaptive	259	92	167	254	93	161	-6	30	27	18	18	301	301	1	1	2	2	3	3	21	16	0	0	0	0
