map_seed	seat	opponent	baseline_score	baseline_opponent_score	baseline_margin	candidate_score	candidate_opponent_score	candidate_margin	delta	baseline_wood	candidate_wood	baseline_opponent_wood	candidate_opponent_wood	baseline_turn	candidate_turn	baseline_train_turn	candidate_train_turn	baseline_workers	candidate_workers	baseline_period2	candidate_period2	baseline_issues	candidate_issues	baseline_critical	candidate_critical	baseline_unclassified	candidate_unclassified
9854000	0	resident	104	100	4	104	96	8	4	26	26	25	24	185	199	1	1	2	2	0	0	0	0	0	0	0	0
9854000	0	gold_adaptive	100	32	68	100	32	68	0	25	25	6	6	217	217	1	1	2	2	3	3	0	0	0	0	0	0
9854000	0	compact_gold	100	32	68	100	32	68	0	25	25	6	6	217	217	1	1	2	2	3	3	0	0	0	0	0	0
9854000	0	norx_native_three	119	62	57	124	65	59	2	28	30	0	2	301	301	1	1	2	2	7	7	8	8	0	0	0	0
9854000	0	legend_balanced	180	63	117	188	71	117	0	44	46	7	9	301	301	1	1	2	2	5	7	2	6	0	0	0	0
9854000	0	mybot	140	77	63	128	82	46	-17	34	31	17	19	301	301	1	1	2	2	3	3	36	17	0	0	0	0
9854000	1	resident	100	104	-4	104	104	0	4	25	26	26	26	185	194	1	1	2	2	0	0	0	0	0	0	0	0
9854000	1	gold_adaptive	108	44	64	100	28	72	8	27	25	9	5	231	230	1	1	2	2	3	0	4	1	0	0	0	0
9854000	1	compact_gold	108	44	64	100	28	72	8	27	25	9	5	231	230	1	1	2	2	3	0	4	1	0	0	0	0
9854000	1	norx_native_three	140	71	69	118	112	6	-63	34	28	0	4	301	301	1	1	2	2	4	13	6	11	0	0	0	0
9854000	1	legend_balanced	180	48	132	137	47	90	-42	44	33	2	4	301	301	1	1	2	2	3	3	3	14	0	0	0	0
9854000	1	mybot	128	71	57	124	74	50	-7	31	30	16	17	301	301	1	1	2	2	3	4	21	16	0	0	0	0
9854001	0	resident	176	176	0	140	193	-53	-53	29	35	29	28	301	293	1	1	2	2	76	8	0	0	0	0	0	0
9854001	0	gold_adaptive	270	102	168	147	93	54	-114	30	36	21	20	301	301	1	1	2	2	3	8	22	54	0	0	0	0
9854001	0	compact_gold	300	317	-17	166	290	-124	-107	38	40	77	70	301	301	1	1	2	2	3	3	25	24	0	0	0	0
9854001	0	norx_native_three	300	134	166	181	128	53	-113	38	44	2	8	301	301	1	1	2	2	3	3	27	24	0	0	0	0
9854001	0	legend_balanced	297	90	207	163	76	87	-120	37	39	4	2	301	301	1	1	2	2	3	21	41	21	0	0	0	0
9854001	0	mybot	223	134	89	139	114	25	-64	45	32	21	20	301	301	1	1	2	2	4	8	36	104	0	0	0	0
9854001	1	resident	176	176	0	113	153	-40	-40	29	27	29	26	301	298	1	1	2	2	77	90	0	0	0	0	0	0
9854001	1	gold_adaptive	259	92	167	135	86	49	-118	30	32	18	17	301	301	1	1	2	2	3	60	21	28	0	0	0	0
9854001	1	compact_gold	292	278	14	139	205	-66	-80	36	34	67	49	301	301	1	1	2	2	0	65	23	26	0	0	0	0
9854001	1	norx_native_three	297	110	187	149	121	28	-159	37	35	1	0	301	301	1	1	2	2	3	20	22	15	0	0	0	0
9854001	1	legend_balanced	308	93	215	161	98	63	-152	40	38	3	5	301	301	1	1	2	2	0	31	24	5	0	0	0	0
9854001	1	mybot	194	124	70	149	131	18	-52	38	35	19	24	301	301	1	1	2	2	48	39	44	31	0	0	0	0
9854002	0	resident	188	192	-4	196	196	0	4	47	49	48	49	221	233	6	6	2	2	4	9	0	0	0	0	0	0
9854002	0	gold_adaptive	216	69	147	204	68	136	-11	54	51	14	14	250	213	6	6	2	2	5	0	63	59	0	0	0	0
9854002	0	compact_gold	228	144	84	232	146	86	2	57	58	31	31	229	235	6	6	2	2	4	3	21	18	0	0	0	0
9854002	0	norx_native_three	293	63	230	280	90	190	-40	72	68	2	1	301	301	6	6	2	2	5	9	1	15	0	0	0	0
9854002	0	legend_balanced	298	91	207	318	90	228	21	73	78	6	7	301	301	6	6	2	2	4	6	21	17	0	0	0	0
9854002	0	mybot	188	114	74	212	122	90	16	47	53	24	26	222	248	6	6	2	2	3	3	30	16	0	0	0	0
9854002	1	resident	192	188	4	160	172	-12	-16	48	40	47	43	221	191	6	6	2	2	3	4	0	0	0	0	0	0
9854002	1	gold_adaptive	208	66	142	220	65	155	13	52	55	14	13	229	258	6	6	2	2	3	3	98	61	0	0	0	0
9854002	1	compact_gold	328	193	135	328	227	101	-34	82	82	44	52	292	301	6	6	2	2	6	4	34	15	0	0	0	0
9854002	1	norx_native_three	310	111	199	298	95	203	4	76	73	2	0	301	301	6	6	2	2	6	4	9	12	0	0	0	0
9854002	1	legend_balanced	318	89	229	310	84	226	-3	78	76	5	12	301	301	6	6	2	2	4	3	44	47	0	0	0	0
9854002	1	mybot	208	147	61	200	138	62	1	52	50	32	30	230	223	6	6	2	2	3	4	11	17	0	0	0	0
9854003	0	resident	132	129	3	152	164	-12	-15	32	38	31	41	301	186	10	10	2	2	175	3	0	0	0	0	0	0
9854003	0	gold_adaptive	296	286	10	228	50	178	168	74	57	71	12	292	234	10	10	2	2	4	3	156	165	0	0	0	0
9854003	0	compact_gold	284	241	43	272	245	27	-16	71	68	57	58	275	283	10	10	2	2	4	5	20	39	0	0	0	0
9854003	0	norx_native_three	320	59	261	292	37	255	-6	79	72	0	2	301	301	10	10	2	2	3	6	111	5	0	0	0	0
9854003	0	legend_balanced	323	275	48	269	248	21	-27	80	65	62	57	301	301	10	10	2	2	3	36	72	80	0	0	0	0
9854003	0	mybot	316	150	166	323	156	167	1	77	80	22	22	301	301	10	10	2	2	41	4	116	80	0	0	0	0
9854003	1	resident	129	132	-3	136	176	-40	-37	31	34	32	44	301	176	10	10	2	2	175	8	0	0	0	0	0	0
9854003	1	gold_adaptive	287	260	27	216	65	151	124	68	54	65	13	262	222	10	10	2	2	3	0	151	50	0	0	0	0
9854003	1	compact_gold	264	253	11	292	281	11	0	66	73	60	67	277	301	10	10	2	2	0	0	25	15	0	0	0	0
9854003	1	norx_native_three	301	72	229	280	63	217	-12	74	69	3	8	301	301	10	10	2	2	4	3	4	152	0	0	0	0
9854003	1	legend_balanced	296	317	-21	313	270	43	64	73	77	75	63	301	301	10	10	2	2	3	3	92	116	0	0	0	0
9854003	1	mybot	332	137	195	319	143	176	-19	82	78	17	18	301	301	10	10	2	2	5	4	150	161	0	0	0	0
9854004	0	resident	108	108	0	104	108	-4	-4	27	26	27	27	174	183	16	1	2	2	3	4	0	0	0	0	0	0
9854004	0	gold_adaptive	144	85	59	140	92	48	-11	36	35	18	19	301	266	16	1	2	2	3	4	21	42	0	0	0	0
9854004	0	compact_gold	191	248	-57	166	320	-154	-97	47	40	60	78	301	301	16	1	2	2	4	4	16	26	0	0	0	0
9854004	0	norx_native_three	160	130	30	142	83	59	29	39	34	2	0	301	301	16	1	2	2	4	6	14	0	0	0	0	0
9854004	0	legend_balanced	186	97	89	155	169	-14	-103	46	37	12	39	301	301	16	1	2	2	3	4	39	121	0	0	0	0
9854004	0	mybot	184	98	86	172	98	74	-12	45	41	20	20	301	301	16	1	2	2	4	4	48	71	0	0	0	0
9854004	1	resident	108	112	-4	112	108	4	8	27	28	28	27	185	196	16	1	2	2	4	0	0	0	0	0	0	0
9854004	1	gold_adaptive	152	79	73	164	161	3	-70	38	41	17	39	267	301	16	1	2	2	3	4	41	85	0	0	0	0
9854004	1	compact_gold	172	248	-76	164	289	-125	-49	43	40	60	70	283	301	16	1	2	2	4	0	29	27	0	0	0	0
